CodeArrdt;CodeBV;CodeCirco;CodeInsee;Inscrits;Votants;Exprimés;Liste;Voix;Blancs;Nuls;Procurations
1;1;1;75101;1052;595;587;LE SCORNET;0;7;1;29
1;1;1;75101;1052;595;587;BORDRY;23;7;1;29
1;1;1;75101;1052;595;587;TOPLA;0;7;1;29
1;1;1;75101;1052;595;587;DURAND;60;7;1;29
1;1;1;75101;1052;595;587;VOLGANLI;1;7;1;29
1;1;1;75101;1052;595;587;GHEIOUECHE;7;7;1;29
1;1;1;75101;1052;595;587;LAMASSOURE;137;7;1;29
1;1;1;75101;1052;595;587;FEO;0;7;1;29
1;1;1;75101;1052;595;587;PAILLARD;0;7;1;29
1;1;1;75101;1052;595;587;MBELLA;0;7;1;29
1;1;1;75101;1052;595;587;DE SARNEZ;91;7;1;29
1;1;1;75101;1052;595;587;PATAS D'ILLIERS;0;7;1;29
1;1;1;75101;1052;595;587;GRIMAL;0;7;1;29
1;1;1;75101;1052;595;587;JAMET;15;7;1;29
1;1;1;75101;1052;595;587;GUYOT;7;7;1;29
1;1;1;75101;1052;595;587;DE HAAS;1;7;1;29
1;1;1;75101;1052;595;587;GOVERNATORI;4;7;1;29
1;1;1;75101;1052;595;587;BERÈS;96;7;1;29
1;1;1;75101;1052;595;587;LE HYARIC;19;7;1;29
1;1;1;75101;1052;595;587;MAYEROWITZ;0;7;1;29
1;1;1;75101;1052;595;587;LEPAPE;0;7;1;29
1;1;1;75101;1052;595;587;ASSELINEAU;1;7;1;29
1;1;1;75101;1052;595;587;DELANOË;0;7;1;29
1;1;1;75101;1052;595;587;ARTHAUD;4;7;1;29
1;1;1;75101;1052;595;587;VERMOREL;0;7;1;29
1;1;1;75101;1052;595;587;LARROUTUROU;16;7;1;29
1;1;1;75101;1052;595;587;LEPAGE;14;7;1;29
1;1;1;75101;1052;595;587;DE GOUYON MATIGNON DE PON;0;7;1;29
1;1;1;75101;1052;595;587;BOUTIN;16;7;1;29
1;1;1;75101;1052;595;587;CHAUPRADE;73;7;1;29
1;1;1;75101;1052;595;587;BESANCENOT;2;7;1;29
1;2;1;75101;1061;582;573;LE SCORNET;0;7;2;24
1;2;1;75101;1061;582;573;BORDRY;19;7;2;24
1;2;1;75101;1061;582;573;TOPLA;1;7;2;24
1;2;1;75101;1061;582;573;DURAND;78;7;2;24
1;2;1;75101;1061;582;573;VOLGANLI;2;7;2;24
1;2;1;75101;1061;582;573;GHEIOUECHE;2;7;2;24
1;2;1;75101;1061;582;573;LAMASSOURE;133;7;2;24
1;2;1;75101;1061;582;573;FEO;0;7;2;24
1;2;1;75101;1061;582;573;PAILLARD;0;7;2;24
1;2;1;75101;1061;582;573;MBELLA;0;7;2;24
1;2;1;75101;1061;582;573;DE SARNEZ;81;7;2;24
1;2;1;75101;1061;582;573;PATAS D'ILLIERS;0;7;2;24
1;2;1;75101;1061;582;573;GRIMAL;0;7;2;24
1;2;1;75101;1061;582;573;JAMET;13;7;2;24
1;2;1;75101;1061;582;573;GUYOT;2;7;2;24
1;2;1;75101;1061;582;573;DE HAAS;2;7;2;24
1;2;1;75101;1061;582;573;GOVERNATORI;3;7;2;24
1;2;1;75101;1061;582;573;BERÈS;102;7;2;24
1;2;1;75101;1061;582;573;LE HYARIC;23;7;2;24
1;2;1;75101;1061;582;573;MAYEROWITZ;1;7;2;24
1;2;1;75101;1061;582;573;LEPAPE;0;7;2;24
1;2;1;75101;1061;582;573;ASSELINEAU;1;7;2;24
1;2;1;75101;1061;582;573;DELANOË;0;7;2;24
1;2;1;75101;1061;582;573;ARTHAUD;1;7;2;24
1;2;1;75101;1061;582;573;VERMOREL;4;7;2;24
1;2;1;75101;1061;582;573;LARROUTUROU;24;7;2;24
1;2;1;75101;1061;582;573;LEPAGE;18;7;2;24
1;2;1;75101;1061;582;573;DE GOUYON MATIGNON DE PON;1;7;2;24
1;2;1;75101;1061;582;573;BOUTIN;2;7;2;24
1;2;1;75101;1061;582;573;CHAUPRADE;57;7;2;24
1;2;1;75101;1061;582;573;BESANCENOT;3;7;2;24
1;3;1;75101;1081;561;553;LE SCORNET;0;6;2;29
1;3;1;75101;1081;561;553;BORDRY;15;6;2;29
1;3;1;75101;1081;561;553;TOPLA;0;6;2;29
1;3;1;75101;1081;561;553;DURAND;74;6;2;29
1;3;1;75101;1081;561;553;VOLGANLI;0;6;2;29
1;3;1;75101;1081;561;553;GHEIOUECHE;7;6;2;29
1;3;1;75101;1081;561;553;LAMASSOURE;98;6;2;29
1;3;1;75101;1081;561;553;FEO;0;6;2;29
1;3;1;75101;1081;561;553;PAILLARD;0;6;2;29
1;3;1;75101;1081;561;553;MBELLA;0;6;2;29
1;3;1;75101;1081;561;553;DE SARNEZ;74;6;2;29
1;3;1;75101;1081;561;553;PATAS D'ILLIERS;0;6;2;29
1;3;1;75101;1081;561;553;GRIMAL;0;6;2;29
1;3;1;75101;1081;561;553;JAMET;14;6;2;29
1;3;1;75101;1081;561;553;GUYOT;3;6;2;29
1;3;1;75101;1081;561;553;DE HAAS;4;6;2;29
1;3;1;75101;1081;561;553;GOVERNATORI;14;6;2;29
1;3;1;75101;1081;561;553;BERÈS;124;6;2;29
1;3;1;75101;1081;561;553;LE HYARIC;28;6;2;29
1;3;1;75101;1081;561;553;MAYEROWITZ;0;6;2;29
1;3;1;75101;1081;561;553;LEPAPE;0;6;2;29
1;3;1;75101;1081;561;553;ASSELINEAU;2;6;2;29
1;3;1;75101;1081;561;553;DELANOË;0;6;2;29
1;3;1;75101;1081;561;553;ARTHAUD;1;6;2;29
1;3;1;75101;1081;561;553;VERMOREL;8;6;2;29
1;3;1;75101;1081;561;553;LARROUTUROU;17;6;2;29
1;3;1;75101;1081;561;553;LEPAGE;7;6;2;29
1;3;1;75101;1081;561;553;DE GOUYON MATIGNON DE PON;0;6;2;29
1;3;1;75101;1081;561;553;BOUTIN;4;6;2;29
1;3;1;75101;1081;561;553;CHAUPRADE;56;6;2;29
